Department,Commune,Arrondissement
Kouffo,Lalo,Hlassamè
Kouffo,Lalo,Lalo
Kouffo,Lalo,Lokogba
Kouffo,Lalo,Tchito
Kouffo,Lalo,Tohou
Kouffo,Lalo,Zalli
Kouffo,Toviklin,Adjido
Kouffo,Toviklin,Avédjin
Kouffo,Toviklin,Doko
Kouffo,Toviklin,Houédogli
Kouffo,Toviklin,Missinko
Kouffo,Toviklin,Tannou-Gola
Kouffo,Toviklin,Toviklin
Littoral,Cotonou,1st arrondissement
Littoral,Cotonou,2nd arrondissement
Littoral,Cotonou,3rd arrondissement
Littoral,Cotonou,4th arrondissement
Littoral,Cotonou,5th arrondissement
Littoral,Cotonou,6th arrondissement
Littoral,Cotonou,7th arrondissement
Littoral,Cotonou,8th arrondissement
Littoral,Cotonou,9th arrondissement
Littoral,Cotonou,10th arrondissement
Littoral,Cotonou,11th arrondissement
Littoral,Cotonou,12th arrondissement
Littoral,Cotonou,13th arrondissement
Mono,Athiémè,Adohoun
Mono,Athiémè,Atchannou
Mono,Athiémè,Athiémè
Mono,Athiémè,Dédékpoé
Mono,Athiémè,Kpinnou
Mono,Bopa,Agbodji
Mono,Bopa,Badazoui
Mono,Bopa,Bopa
Mono,Bopa,Gbakpodji
Mono,Bopa,Lobogo
Mono,Bopa,Possotomè
Mono,Bopa,Yégodoé
Mono,Comè,Agatogbo
Mono,Comè,Akodéha
Mono,Comè,Comè
Mono,Comè,Ouèdèmè-Pédah
Mono,Comè,Oumako
Mono,Grand-Popo,Adjaha
Mono,Grand-Popo,Agoué
Mono,Grand-Popo,Avloh
Mono,Grand-Popo,Djanglanmey
Mono,Grand-Popo,Gbéhoué
Mono,Grand-Popo,Grand-Popo
Mono,Grand-Popo,Sazoué
Mono,Houéyogbé,Dahé
Mono,Houéyogbé,Doutou
Mono,Houéyogbé,Honhoué
Mono,Houéyogbé,Houéyogbé
Mono,Houéyogbé,Sè
Mono,Houéyogbé,Zoungbonou
Mono,Lokossa,Agamé
Mono,Lokossa,Houin
Mono,Lokossa,Houèdèmè-Adja
Mono,Lokossa,Koudo
Mono,Lokossa,Lokossa
Ouémé,Adjarra,Adjarra I
Ouémé,Adjarra,Adjarra II
Ouémé,Adjarra,Aglogbé
Ouémé,Adjarra,Honvié
Ouémé,Adjarra,Malanhoui
Ouémé,Adjarra,Médédjonou
Ouémé,Adjohoun,Adjohoun
Ouémé,Adjohoun,Akpadanou
Ouémé,Adjohoun,Awonou
Ouémé,Adjohoun,Azowlissè
Ouémé,Adjohoun,Dèmè
Ouémé,Adjohoun,Gangban
Ouémé,Adjohoun,Kodè
Ouémé,Adjohoun,Togbota
Ouémé,Aguegues,Avagbodji
Ouémé,Aguegues,Houédomè
Ouémé,Aguegues,Zoungamè
Ouémé,Akpro-Missérété,Akpro-Missérété
Ouémé,Akpro-Missérété,Gomè-Sota
Ouémé,Akpro-Missérété,Katagon
Ouémé,Akpro-Missérété,Vakon
Ouémé,Akpro-Missérété,Zoungbomè
Ouémé,Avrankou,Atchoukpa
Ouémé,Avrankou,Avrankou
Ouémé,Avrankou,Djomon
Ouémé,Avrankou,Gbozounmè
Ouémé,Avrankou,Kouty
Ouémé,Avrankou,Ouanho
Ouémé,Avrankou,Sado
Ouémé,Bonou,Affamè
Ouémé,Bonou,Atchonsa
Ouémé,Bonou,Bonou
Ouémé,Bonou,Damè-Wogon
Ouémé,Bonou,Houinviguè
Ouémé,Dangbo,Dangbo
Ouémé,Dangbo,Dékin
Ouémé,Dangbo,Gbéko
Ouémé,Dangbo,Houédomey
Ouémé,Dangbo,Hozin
Ouémé,Dangbo,Késsounou
Ouémé,Dangbo,Zounguè
Ouémé,Porto-Novo,1st arrondissement
Ouémé,Porto-Novo,2nd arrondissement
Ouémé,Porto-Novo,3rd arrondissement
Ouémé,Porto-Novo,4th arrondissement
Ouémé,Porto-Novo,5th arrondissement
Ouémé,Sèmè-Kpodji,Agblangandan
Ouémé,Sèmè-Kpodji,Aholouyèmè
Ouémé,Sèmè-Kpodji,Djrègbè
Ouémé,Sèmè-Kpodji,Ekpè
Ouémé,Sèmè-Kpodji,Sèmè-Kpodji
Ouémé,Sèmè-Kpodji,Tohouè
Plateau,Adja-Ouèrè,Adja-Ouèrè
Plateau,Adja-Ouèrè,Ikpinlè
Plateau,Adja-Ouèrè,Kpoulou
Plateau,Adja-Ouèrè,Massè
Plateau,Adja-Ouèrè,Oko-Akarè
Plateau,Adja-Ouèrè,Totonnoukon
Plateau,Ifangni,Banigbé
Plateau,Ifangni,Daagbé
Plateau,Ifangni,Ifangni
Plateau,Ifangni,Ko-Koumolou
Plateau,Ifangni,Lagbé
Plateau,Ifangni,Tchaada
Plateau,Kétou,Adakplamé
Plateau,Kétou,Idigny
Plateau,Kétou,Kpankou
Plateau,Kétou,Kétou
Plateau,Kétou,Odometa
Plateau,Kétou,Okpometa
Plateau,Pobè,Ahoyéyé
Plateau,Pobè,Igana
Plateau,Pobè,Issaba
Plateau,Pobè,Pobè
Plateau,Pobè,Towé
Plateau,Sakété,Aguidi
Plateau,Sakété,Ita-Djèbou
Plateau,Sakété,Sakété I
Plateau,Sakété,Sakété II
Plateau,Sakété,Takon
Plateau,Sakété,Yoko
Zou,Abomey,Agbokpa
Zou,Abomey,Dètohou
Zou,Abomey,Djègbè
Zou,Abomey,Hounli
Zou,Abomey,Sèhoun
Zou,Abomey,Vidolè
Zou,Abomey,Zounzounmè
Zou,Agbangnizoun,Adahondjigon
Zou,Agbangnizoun,Adingningon
Zou,Agbangnizoun,Agbangnizoun
Zou,Agbangnizoun,Kinta
Zou,Agbangnizoun,Kpota
Zou,Agbangnizoun,Lissazounmè
Zou,Agbangnizoun,Sahé
Zou,Agbangnizoun,Siwé
Zou,Agbangnizoun,Tanvé
Zou,Agbangnizoun,Zoungoudo
Zou,Bohicon,Agongointo
Zou,Bohicon,Avogbana
Zou,Bohicon,Bohicon I
Zou,Bohicon,Bohicon II
Zou,Bohicon,Gnidjazoun
Zou,Bohicon,Lissèzoun
Zou,Bohicon,Ouassaho
Zou,Bohicon,Passagon
Zou,Bohicon,Saclo
Zou,Bohicon,Sodohomè
Zou,Covè,Adogbé
Zou,Covè,Gounli
Zou,Covè,Houéko
Zou,Covè,Houen-Hounso
Zou,Covè,Lainta-Cogbè
Zou,Covè,Naogon
Zou,Covè,Soli
Zou,Covè,Zogba
Zou,Djidja,Agondji
Zou,Djidja,Agouna
Zou,Djidja,Dan
Zou,Djidja,Djidja
Zou,Djidja,Dohouimè
Zou,Djidja,Gobè
Zou,Djidja,Monsourou
Zou,Djidja,Mougnon
Zou,Djidja,Oungbègamè
Zou,Djidja,Outo
Zou,Djidja,Setto
Zou,Djidja,Zoukou
Zou,Ouinhi,Dasso
Zou,Ouinhi,Ouinhi
Zou,Ouinhi,Sagon
Zou,Ouinhi,Tohoué
Zou,Za-Kpota,Allahé
Zou,Za-Kpota,Assalin
Zou,Za-Kpota,Houngomey
Zou,Za-Kpota,Kpakpamè
Zou,Za-Kpota,Kpozoun
Zou,Za-Kpota,Za-Kpota
Zou,Za-Kpota,Za-Tanta
Zou,Za-Kpota,Zèko
Zou,Zagnanado,Agonli-Houégbo
Zou,Zagnanado,Banamè
Zou,Zagnanado,Don-Tan
Zou,Zagnanado,Dovi
Zou,Zagnanado,Kpédékpo
Zou,Zagnanado,Zagnanado
Zou,Zogbodomey,Akiza
Zou,Zogbodomey,Avlamè
Zou,Zogbodomey,Cana I
Zou,Zogbodomey,Cana II
Zou,Zogbodomey,Domè
Zou,Zogbodomey,Koussoukpa
Zou,Zogbodomey,Kpokissa
Zou,Zogbodomey,Massi
Zou,Zogbodomey,Tanwé-Hessou
Zou,Zogbodomey,Zogbodomey
Zou,Zogbodomey,Zoukou
